
"Order No.,Time,Symbol,Side,Price,Quantity,Fee,Role,Realized Profit"
"11579702518,2026-01-11 11:07:07,BTCUSDT Perp,Sell,""90,579.20"",""20,380.4 USDT"",""8.15212799 USDT"",Taker,0.00000000 USDT"
"11579700910,2026-01-11 11:07:02,BTCUSDT Perp,Sell,""90,579.30"",""724.7 USDT"",""0.14492688 USDT"",Maker,0.00000000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.40"",""10,871.7 USDT"",""4.34867520 USDT"",Taker,8.49599999 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""634.2 USDT"",""0.25367384 USDT"",Taker,0.49839999 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""271.8 USDT"",""0.10871736 USDT"",Taker,0.21360000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""815.4 USDT"",""0.32615208 USDT"",Taker,0.64080000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""181.2 USDT"",""0.07247824 USDT"",Taker,0.14240000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""815.4 USDT"",""0.32615208 USDT"",Taker,0.64080000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""453.0 USDT"",""0.18119560 USDT"",Taker,0.35600000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""181.2 USDT"",""0.07247824 USDT"",Taker,0.14240000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""543.6 USDT"",""0.21743472 USDT"",Taker,0.42720000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""906.0 USDT"",""0.36239120 USDT"",Taker,0.71200000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""724.8 USDT"",""0.28991296 USDT"",Taker,0.56960000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""453.0 USDT"",""0.18119560 USDT"",Taker,0.35600000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""543.6 USDT"",""0.21743472 USDT"",Taker,0.42720000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""362.4 USDT"",""0.14495648 USDT"",Taker,0.28480000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""634.2 USDT"",""0.25367384 USDT"",Taker,0.49839999 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""634.2 USDT"",""0.25367384 USDT"",Taker,0.49839999 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""271.8 USDT"",""0.10871736 USDT"",Taker,0.21360000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""996.6 USDT"",""0.39863032 USDT"",Taker,0.78320000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""453.0 USDT"",""0.18119560 USDT"",Taker,0.35600000 USDT"
"11579556045,2026-01-11 10:59:07,BTCUSDT Perp,Sell,""90,597.80"",""362.4 USDT"",""0.14495648 USDT"",Taker,0.28480000 USDT"
"11579177278,2026-01-11 10:38:06,BTCUSDT Perp,Buy,""90,526.60"",""21,092.7 USDT"",""8.43707912 USDT"",Taker,0.00000000 USDT"
"11579106258,2026-01-11 10:34:04,BTCUSDT Perp,Buy,""90,531.40"",""17,110.5 USDT"",""3.42208692 USDT"",Maker,-3.62750769 USDT"
"11579106258,2026-01-11 10:34:04,BTCUSDT Perp,Buy,""90,531.40"",""814.8 USDT"",""0.16295652 USDT"",Maker,-0.17273846 USDT"
"11579105673,2026-01-11 10:34:04,BTCUSDT Perp,Buy,""90,531.40"",""814.8 USDT"",""0.16295652 USDT"",Maker,-0.17273846 USDT"
"11579105673,2026-01-11 10:34:03,BTCUSDT Perp,Buy,""90,531.40"",""271.6 USDT"",""0.05431884 USDT"",Maker,-0.05757948 USDT"
"11579105265,2026-01-11 10:34:02,BTCUSDT Perp,Buy,""90,531.40"",""905.4 USDT"",""0.18106280 USDT"",Maker,-0.19193162 USDT"
"11579105265,2026-01-11 10:34:02,BTCUSDT Perp,Buy,""90,531.40"",""633.8 USDT"",""0.12674395 USDT"",Maker,-0.13435213 USDT"
"11579105147,2026-01-11 10:34:00,BTCUSDT Perp,Buy,""90,531.40"",""633.8 USDT"",""0.12674395 USDT"",Maker,-0.13435213 USDT"
