"TimeGenerated [UTC]","ContainerImage_s","ContainerName_s","RevisionName_s","Log_s"
"1/6/2026, 11:11:04.623 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 23:11:03 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 5:44:40.665 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 05:44:39 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 5:44:38.678 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 05:44:37 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 418 GET /fapi/v2/account | IP banned until 2026-01-07T05:59:46.136000, symbol=BTCUSDT"
"1/7/2026, 4:56:02.592 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 04:56:01 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 5:51:58.620 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 05:51:57 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 418 GET /fapi/v2/account | IP banned until 2026-01-07T05:57:46.126000, symbol=BTCUSDT"
"1/7/2026, 5:52:58.543 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 05:52:57 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 5:52:58.543 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 05:52:58 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 5:54:48.568 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 05:54:48 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 418 GET /fapi/v2/account | IP banned until 2026-01-07T05:57:46.126000, symbol=BTCUSDT"
"1/7/2026, 6:00:11.586 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 06:00:10 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 7:57:03.769 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 19:57:02 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 7:58:04.607 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 19:58:03 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/5/2026, 8:10:38.492 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-05 20:10:37 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/5/2026, 5:41:07.912 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-05 17:41:07 - llmtrader.live - ERROR - 에러 | type=STRATEGY_ERROR, message='LiveContext' object has no attribute 'close_position_at_price', symbol=BTCUSDT | {'is_tick': True}"
"1/5/2026, 10:27:37.801 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-05 22:27:36 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
