TimeGenerated [Local Time],ContainerImage_s,ContainerName_s,RevisionName_s,Log_s
"1/11/2026, 오전 11:07:11",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"2026-01-11 02:07:10 - llmtrader.live - INFO - TICK | symbol=BTCUSDT, bar_time=2026-01-11T02:07, price=90,579.20, rsi=49.59, rsi_rt=49.59, position=-0.2330, balance=4,301.90, pnl=0.00 | {'rsi_period': 14, 'bar_close': 90579.2, 'total_equity': 4301.90221391084}"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🚨 Chase Order 실패 → 시장가로 전환 (남은 수량: 0.2340)
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"📐 정밀도 보정: qty 0.234 -> 0.234, price None -> None"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🔍 주문 크기 검증: order_value=$21161.56, max_order_value=$21182.13, total_equity=$4322.88, leverage=10, max_order_size=0.49"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🔔 이벤트 분류: ENTRY (before_pos=+0.000000, after_pos=+0.234000, after_pos_api=+0.234000, side=BUY, executed_qty=+0.234000)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"✅ 주문 체결[2026-01-11T00:13:06] orderId=11577676689 side=BUY type=MARKET(Taker) | pos_usd $0.00 -> $21,161.56 | pos +0.0000 -> +0.2340 | last=90,434.00 | rsi(14)=36.22 rsi_rt(14)=36.22 | reason=Entry Long (25.3 -> 36.2) | commission=8.4646 USDT (rate=0.04%)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"📤 Slack 알림 전송 시도: event=ENTRY, notifier=있음"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,✅ Slack 알림 전송 성공
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 1/5: SELL 0.234 @ 90,508.40 (현재가: 90,542.80)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 2/5: SELL 0.234 @ 90,508.40 (현재가: 90,508.40)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"⚠️ 부분 체결: 0.011/0.234, 남은 수량 0.223"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,✅ Chase Order 이미 체결됨 (포지션 확인: 0.2340 → 0.0000)
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"2026-01-11 02:07:07 - llmtrader.live - INFO - ORDER_FILLED | symbol=BTCUSDT, orderId=11579702518, side=SELL, type=MARKET(Taker), event=ENTRY, pos=+0.0000->-0.2330, pos_usd=$0.00->$-21,104.95, price=90,579.20, rsi(14)=49.59, rsi_rt=49.59, commission=8.4420 (rate=0.04%), reason=Entry Short (72.4 -> 49.6) | {'entry_rsi': None, 'exit_rsi': None}"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🔔 이벤트 분류: EXIT (before_pos=+0.234000, after_pos=+0.000000, after_pos_api=+0.000000, side=SELL, executed_qty=+0.234000)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"✅ 주문 체결[2026-01-11T00:19:02] orderId=N/A side=SELL type=LIMIT(Maker) | pos_usd $21,178.97 -> $0.00 | pos +0.2340 -> +0.0000 | last=90,508.40 | rsi(14)=74.67 rsi_rt(14)=60.23 | reason=RSI Exit Long (67.7 -> 74.7) | commission=4.2358 USDT (rate=0.02%) | pnl=+0.00 (before fee) | pnl_after_fee=-4.24 (after fee)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"📤 Slack 알림 전송 시도: event=EXIT, notifier=있음"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,✅ Slack 알림 전송 성공
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 1/5: SELL 0.234 @ 90,512.40 (현재가: 90,512.30)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 2/5: SELL 0.234 @ 90,512.40 (현재가: 90,512.30)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 3/5: SELL 0.234 @ 90,512.40 (현재가: 90,512.30)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"⚠️ 부분 체결: 0.002/0.234, 남은 수량 0.232"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 4/5: SELL 0.232 @ 90,512.40 (현재가: 90,512.40)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 5/5: SELL 0.232 @ 90,512.40 (현재가: 90,512.30)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🚨 Chase Order 실패 → 시장가로 전환 (남은 수량: 0.2260)
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"📐 정밀도 보정: qty 0.226 -> 0.226, price None -> None"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🔍 주문 크기 검증: order_value=$20455.78, max_order_value=$21204.50, total_equity=$4327.45, leverage=10, max_order_size=0.49"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🔔 이벤트 분류: ENTRY (before_pos=+0.000000, after_pos=-0.234000, after_pos_api=-0.234000, side=SELL, executed_qty=+0.234000)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"✅ 주문 체결[2026-01-11T00:20:07] orderId=11577793237 side=SELL type=MARKET(Taker) | pos_usd $0.00 -> $-21,179.88 | pos +0.0000 -> -0.2340 | last=90,512.30 | rsi(14)=61.58 rsi_rt(14)=61.58 | reason=Entry Short (74.7 -> 61.6) | commission=8.4719 USDT (rate=0.04%)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"📤 Slack 알림 전송 시도: event=ENTRY, notifier=있음"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,✅ Slack 알림 전송 성공
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 1/5: BUY 0.234 @ 90,531.40 (현재가: 90,530.40)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"⚠️ 부분 체결: 0.007/0.234, 남은 수량 0.227"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 2/5: BUY 0.227 @ 90,531.40 (현재가: 90,530.40)"
